"sum","time","diff"
"2876","1750265458602","1"
"2876","1750265459602","-1"
"2886","1750265459602","1"
"2886","1750265460602","-1"
"2896","1750265460602","1"
"2896","1750265461602","-1"
"2906","1750265461602","1"
"2906","1750265462602","-1"
"2916","1750265462602","1"
"2916","1750265463602","-1"
"2925","1750265463602","1"
"2925","1750265464602","-1"
"2935","1750265464602","1"
"2935","1750265465602","-1"
"2945","1750265465602","1"
"2945","1750265466602","-1"
"2955","1750265466602","1"
"2955","1750265467602","-1"
"2965","1750265467602","1"
"2965","1750265468602","-1"
"2975","1750265468602","1"
"2975","1750265469602","-1"
"2985","1750265469602","1"
"2985","1750265470602","-1"
"2995","1750265470602","1"
"2995","1750265471602","-1"
"3005","1750265471602","1"
"3005","1750265472602","-1"
"3015","1750265472602","1"
"3015","1750265473602","-1"
"3025","1750265473602","1"
"3025","1750265474602","-1"
"3035","1750265474602","1"
"3035","1750265475602","-1"
"3045","1750265475602","1"
"3045","1750265476602","-1"
"3055","1750265476602","1"
"3055","1750265477602","-1"
"3065","1750265477602","1"
"3065","1750265478602","-1"
"3075","1750265478602","1"
"3075","1750265479602","-1"
"3085","1750265479602","1"
"3085","1750265480602","-1"
"3095","1750265480602","1"
"3095","1750265481602","-1"
"3105","1750265481602","1"
"3105","1750265482602","-1"
"3115","1750265482602","1"
"3115","1750265483602","-1"
"3125","1750265483602","1"
"3125","1750265484602","-1"
"3135","1750265484602","1"
"3135","1750265485602","-1"
"3144","1750265485602","1"
"3144","1750265486602","-1"
"3154","1750265486602","1"
"3154","1750265487602","-1"
"3164","1750265487602","1"
"3164","1750265488602","-1"
"3174","1750265488602","1"
"3174","1750265489602","-1"
"3184","1750265489602","1"
"3184","1750265490602","-1"
"3194","1750265490602","1"
"3194","1750265491602","-1"
"3204","1750265491602","1"
"3204","1750265492602","-1"
"3214","1750265492602","1"
"3214","1750265493602","-1"
"3224","1750265493602","1"
"3224","1750265494602","-1"
"3234","1750265494602","1"
"3234","1750265495602","-1"
"3244","1750265495602","1"
"3244","1750265496602","-1"
"3254","1750265496602","1"
"3254","1750265497602","-1"
"3264","1750265497602","1"
"3264","1750265498602","-1"
"3274","1750265498602","1"
"3274","1750265499602","-1"
"3284","1750265499602","1"
"3284","1750265500602","-1"
"3294","1750265500602","1"
"3294","1750265501602","-1"
"3304","1750265501602","1"
"3304","1750265502602","-1"
"3314","1750265502602","1"
"3314","1750265503602","-1"
"3324","1750265503602","1"
"3324","1750265504602","-1"
"3334","1750265504602","1"
"3334","1750265505602","-1"
"3344","1750265505602","1"
"3344","1750265506602","-1"
"3353","1750265506602","1"
"3353","1750265507602","-1"
"3363","1750265507602","1"
"3363","1750265508602","-1"
"3373","1750265508602","1"
"3373","1750265509602","-1"
"3383","1750265509602","1"
"3383","1750265510602","-1"
"3393","1750265510602","1"
"3393","1750265511602","-1"
"3403","1750265511602","1"
"3403","1750265512602","-1"
"3413","1750265512602","1"
"3413","1750265513602","-1"
"3423","1750265513602","1"
"3423","1750265514602","-1"
"3433","1750265514602","1"
"3433","1750265515602","-1"
"3443","1750265515602","1"
"3443","1750265516602","-1"
"3453","1750265516602","1"
"3453","1750265517602","-1"
"3463","1750265517602","1"
"3463","1750265518602","-1"
"3473","1750265518602","1"
"3473","1750265519602","-1"
"3483","1750265519602","1"
"3483","1750265520602","-1"
"3493","1750265520602","1"
"3493","1750265521602","-1"
"3503","1750265521602","1"
"3503","1750265522602","-1"
"3513","1750265522602","1"
"3513","1750265523602","-1"
"3523","1750265523602","1"
"3523","1750265524602","-1"
"3533","1750265524602","1"
"3533","1750265525602","-1"
"3542","1750265525602","1"
"3542","1750265526602","-1"
"3552","1750265526602","1"
"3552","1750265527602","-1"
"3562","1750265527602","1"
"3562","1750265528602","-1"
"3572","1750265528602","1"
"3572","1750265529602","-1"
"3582","1750265529602","1"
"3582","1750265530602","-1"
"3592","1750265530602","1"
"3592","1750265531602","-1"
"3602","1750265531602","1"
"3602","1750265532602","-1"
"3612","1750265532602","1"
"3612","1750265533602","-1"
"3622","1750265533602","1"
"3622","1750265534602","-1"
"3632","1750265534602","1"
"3632","1750265535602","-1"
"3642","1750265535602","1"
"3642","1750265536602","-1"
"3652","1750265536602","1"
"3652","1750265537602","-1"
"3662","1750265537602","1"
"3662","1750265538602","-1"
"3672","1750265538602","1"
"3672","1750265539602","-1"
"3682","1750265539602","1"
"3682","1750265540602","-1"
"3692","1750265540602","1"
"3692","1750265541602","-1"
"3702","1750265541602","1"
"3702","1750265542602","-1"
"3712","1750265542602","1"
"3712","1750265543602","-1"
"3722","1750265543602","1"
"3722","1750265544602","-1"
"3731","1750265544602","1"
"3731","1750265545602","-1"
"3741","1750265545602","1"
"3741","1750265546602","-1"
"3751","1750265546602","1"
"3751","1750265547602","-1"
"3761","1750265547602","1"
"3761","1750265548602","-1"
"3771","1750265548602","1"
"3771","1750265549602","-1"
"3781","1750265549602","1"
"3781","1750265550602","-1"
"3791","1750265550602","1"
"3791","1750265551602","-1"
"3801","1750265551602","1"
"3801","1750265552602","-1"
"3811","1750265552602","1"
"3811","1750265553602","-1"
"3821","1750265553602","1"
"3821","1750265554602","-1"
"3831","1750265554602","1"
"3831","1750265555602","-1"
"3841","1750265555602","1"
"3841","1750265556602","-1"
"3851","1750265556602","1"
"3851","1750265557602","-1"
"3861","1750265557602","1"
"3861","1750265558602","-1"
"3871","1750265558602","1"
"3871","1750265559602","-1"
"3881","1750265559602","1"
"3881","1750265560602","-1"
"3891","1750265560602","1"
"3891","1750265561602","-1"
"3901","1750265561602","1"
"3901","1750265562602","-1"
"3910","1750265562602","1"
"3910","1750265563602","-1"
"3920","1750265563602","1"
"3920","1750265564602","-1"
"3930","1750265564602","1"
"3930","1750265565602","-1"
"3940","1750265565602","1"
"3940","1750265566602","-1"
"3950","1750265566602","1"
"3950","1750265567602","-1"
"3960","1750265567602","1"
"3960","1750265568602","-1"
"3970","1750265568602","1"
"3970","1750265569602","-1"
"3980","1750265569602","1"
"3980","1750265570602","-1"
"3990","1750265570602","1"
"3990","1750265571602","-1"
"4000","1750265571602","1"
"4000","1750265572602","-1"
"4010","1750265572602","1"
"4010","1750265573602","-1"
"4020","1750265573602","1"
"4020","1750265574602","-1"
"4030","1750265574602","1"
"4030","1750265575602","-1"
"4040","1750265575602","1"
"4040","1750265576602","-1"
"4050","1750265576602","1"
"4050","1750265577602","-1"
"4060","1750265577602","1"
"4060","1750265578602","-1"
"4070","1750265578602","1"
"4070","1750265579602","-1"
"4080","1750265579602","1"
"4080","1750265580602","-1"
"4089","1750265580602","1"
"4089","1750265581602","-1"
"4099","1750265581602","1"
"4099","1750265582602","-1"
"4109","1750265582602","1"
"4109","1750265583602","-1"
"4119","1750265583602","1"
"4119","1750265584602","-1"
"4129","1750265584602","1"
"4129","1750265585602","-1"
"4139","1750265585602","1"
"4139","1750265586602","-1"
"4149","1750265586602","1"
"4149","1750265587602","-1"
"4159","1750265587602","1"
"4159","1750265588602","-1"
"4169","1750265588602","1"
"4169","1750265589602","-1"
"4179","1750265589602","1"
"4179","1750265590602","-1"
"4189","1750265590602","1"
"4189","1750265591602","-1"
"4199","1750265591602","1"
"4199","1750265592602","-1"
"4209","1750265592602","1"
"4209","1750265593602","-1"
"4219","1750265593602","1"
"4219","1750265594602","-1"
"4229","1750265594602","1"
"4229","1750265595602","-1"
"4239","1750265595602","1"
"4239","1750265596602","-1"
"4248","1750265596602","1"
"4248","1750265597602","-1"
"4258","1750265597602","1"
"4258","1750265598602","-1"
"4268","1750265598602","1"
"4268","1750265599602","-1"
"4278","1750265599602","1"
"4278","1750265600602","-1"
"4288","1750265600602","1"
"4288","1750265601602","-1"
"4298","1750265601602","1"
"4298","1750265602602","-1"
"4308","1750265602602","1"
"4308","1750265603602","-1"
"4318","1750265603602","1"
"4318","1750265604602","-1"
"4328","1750265604602","1"
"4328","1750265605602","-1"
"4338","1750265605602","1"
"4338","1750265606602","-1"
"4348","1750265606602","1"
"4348","1750265607602","-1"
"4358","1750265607602","1"
"4358","1750265608602","-1"
"4368","1750265608602","1"
"4368","1750265609602","-1"
"4378","1750265609602","1"
"4378","1750265610602","-1"
"4388","1750265610602","1"
"4388","1750265611602","-1"
"4398","1750265611602","1"
"4398","1750265612602","-1"
"4408","1750265612602","1"
"4408","1750265613602","-1"
"4418","1750265613602","1"
"4418","1750265614602","-1"
"4427","1750265614602","1"
"4427","1750265615602","-1"
"4437","1750265615602","1"
"4437","1750265616602","-1"
"4447","1750265616602","1"
"4447","1750265617602","-1"
"4457","1750265617602","1"
"4457","1750265618602","-1"
"4467","1750265618602","1"
"4467","1750265619602","-1"
"4477","1750265619602","1"
"4477","1750265620602","-1"
"4487","1750265620602","1"
"4487","1750265621602","-1"
"4497","1750265621602","1"
"4497","1750265622602","-1"
"4507","1750265622602","1"
"4507","1750265623602","-1"
"4517","1750265623602","1"
"4517","1750265624602","-1"
"4527","1750265624602","1"
"4527","1750265625602","-1"
"4537","1750265625602","1"
"4537","1750265626602","-1"
"4547","1750265626602","1"
"4547","1750265627602","-1"
"4557","1750265627602","1"
"4557","1750265628602","-1"
"4567","1750265628602","1"
"4567","1750265629602","-1"
"4577","1750265629602","1"
"4577","1750265630602","-1"
"4587","1750265630602","1"
"4587","1750265631602","-1"
"4597","1750265631602","1"
"4597","1750265632602","-1"
"4606","1750265632602","1"
"4606","1750265633602","-1"
"4616","1750265633602","1"
"4616","1750265634602","-1"
"4626","1750265634602","1"
"4626","1750265635602","-1"
"4636","1750265635602","1"
"4636","1750265636602","-1"
"4646","1750265636602","1"
"4646","1750265637602","-1"
"4656","1750265637602","1"
"4656","1750265638602","-1"
"4666","1750265638602","1"
"4666","1750265639602","-1"
"4676","1750265639602","1"
"4676","1750265640602","-1"
"4686","1750265640602","1"
"4686","1750265641602","-1"
"4696","1750265641602","1"
"4696","1750265642602","-1"
"4706","1750265642602","1"
"4706","1750265643602","-1"
"4716","1750265643602","1"
"4716","1750265644602","-1"
"4726","1750265644602","1"
"4726","1750265645602","-1"
"4736","1750265645602","1"
"4736","1750265646602","-1"
"4746","1750265646602","1"
"4746","1750265647602","-1"
"4756","1750265647602","1"
"4756","1750265648602","-1"
"4766","1750265648602","1"
"4766","1750265649602","-1"
"4775","1750265649602","1"
"4775","1750265650602","-1"
"4785","1750265650602","1"
"4785","1750265651602","-1"
"4795","1750265651602","1"
"4795","1750265652602","-1"
"4805","1750265652602","1"
"4805","1750265653602","-1"
"4815","1750265653602","1"
"4815","1750265654602","-1"
"4825","1750265654602","1"
"4825","1750265655602","-1"
"4835","1750265655602","1"
"4835","1750265656602","-1"
"4845","1750265656602","1"
"4845","1750265657602","-1"
"4855","1750265657602","1"
"4855","1750265658602","-1"
"4865","1750265658602","1"
"4865","1750265659602","-1"
"4875","1750265659602","1"
"4875","1750265660602","-1"
"4885","1750265660602","1"
"4885","1750265661602","-1"
"4895","1750265661602","1"
"4895","1750265662602","-1"
"4905","1750265662602","1"
"4905","1750265663602","-1"
"4915","1750265663602","1"
"4915","1750265664602","-1"
"4925","1750265664602","1"
"4925","1750265665602","-1"
"4935","1750265665602","1"
"4935","1750265666602","-1"
"4945","1750265666602","1"
"4945","1750265667602","-1"
"4954","1750265667602","1"
"4954","1750265668602","-1"
"4964","1750265668602","1"
"4964","1750265669602","-1"
"4974","1750265669602","1"
"4974","1750265670602","-1"
"4984","1750265670602","1"
"4984","1750265671602","-1"
"4994","1750265671602","1"
"4994","1750265672602","-1"
"5004","1750265672602","1"
"5004","1750265673602","-1"
"5014","1750265673602","1"
"5014","1750265674602","-1"
"5024","1750265674602","1"
"5024","1750265675602","-1"
"5034","1750265675602","1"
"5034","1750265676602","-1"
"5044","1750265676602","1"
"5044","1750265677602","-1"
"5054","1750265677602","1"
"5054","1750265678602","-1"
"5064","1750265678602","1"
"5064","1750265679602","-1"
"5074","1750265679602","1"
"5074","1750265680602","-1"
"5084","1750265680602","1"
"5084","1750265681602","-1"
"5094","1750265681602","1"
"5094","1750265682602","-1"
"5104","1750265682602","1"
"5104","1750265683602","-1"
"5114","1750265683602","1"
"5114","1750265684602","-1"
"5123","1750265684602","1"
"5123","1750265685602","-1"
"5133","1750265685602","1"
"5133","1750265686602","-1"
"5143","1750265686602","1"
"5143","1750265687602","-1"
"5153","1750265687602","1"
"5153","1750265688602","-1"
"5163","1750265688602","1"
"5163","1750265689602","-1"
"5173","1750265689602","1"
"5173","1750265690602","-1"
"5183","1750265690602","1"
"5183","1750265691602","-1"
"5193","1750265691602","1"
"5193","1750265692602","-1"
"5203","1750265692602","1"
"5203","1750265693602","-1"
"5213","1750265693602","1"
"5213","1750265694602","-1"
